login_time,typing_speed,backspace_count,mouse_movement_speed,cursor_path_length,ip_address_risk,geo_location_change,device_type,browser_type,failed_attempts_last_10min,login_hour,session_request_rate,password_paste,vpn_detected,tor_detected,keystroke_variance,is_attacker,attack,label
5.11,2.42,2,240.25,265.5,0,0,Mobile,Chrome,1,8,3.65,1,0,0,0.234,0,none,0
5.94,4.27,2,308.02,363.5,0,0,Desktop,Firefox,0,14,2.75,0,0,0,0.629,0,none,0
2.69,3.23,2,370.18,443.72,1,1,Mobile,Firefox,0,6,0.62,0,0,0,0.378,0,none,0
4.9,3.65,2,488.66,550.39,1,0,Mobile,Edge,1,0,1.02,0,0,0,0.392,0,none,0
3.1,1.24,3,352.15,723.03,0,1,Desktop,Safari,2,9,2.62,0,0,0,0.456,0,none,0
3.66,5.48,1,158.16,72.87,0,1,Desktop,Chrome,1,6,1.36,0,0,0,0.64,0,none,0
3.55,4.7,4,264.55,814.55,0,0,Desktop,Edge,0,17,4.4,0,1,0,0.616,0,none,0
4.62,4.19,2,116.15,524.39,0,0,Desktop,Chrome,1,22,2.74,0,1,0,0.555,0,none,0
6.17,5.16,3,263.76,211.0,0,0,Desktop,Chrome,1,6,1.61,1,1,0,0.698,0,none,0
3.8,2.72,3,333.89,162.6,0,0,Desktop,Edge,0,7,2.04,1,0,1,0.415,0,none,0
4.18,2.82,1,344.11,174.4,1,1,Mobile,Edge,1,13,2.33,0,1,0,0.518,1,bot_attack,1
1.8,4.04,2,257.61,465.86,0,0,Desktop,Firefox,1,23,3.28,0,0,0,0.449,0,none,0
4.21,2.83,2,231.05,451.66,0,0,Desktop,Edge,2,23,0.51,0,1,0,0.331,0,none,0
6.07,3.15,2,206.74,354.2,0,0,Desktop,Firefox,2,14,4.03,0,0,0,0.509,1,bot_attack,1
5.45,5.3,3,251.88,703.7,0,0,Desktop,Edge,2,3,1.82,0,0,0,0.614,0,none,0
1.22,2.46,2,372.41,549.81,0,1,Mobile,Safari,1,2,2.43,0,0,0,0.514,0,none,0
4.74,3.06,3,162.69,773.16,0,0,Desktop,Safari,3,10,0.99,0,0,0,0.532,0,none,0
4.09,1.69,2,130.74,586.22,0,1,Mobile,Safari,2,5,4.4,1,0,0,0.536,1,bot_attack,1
4.25,4.58,3,242.4,335.15,0,0,Desktop,Safari,0,13,1.39,0,1,0,0.301,0,none,0
5.19,4.93,3,197.37,143.19,1,0,Mobile,Chrome,0,13,4.36,0,0,0,0.525,0,none,0
4.84,4.56,0,127.77,277.36,0,0,Mobile,Firefox,2,11,3.16,0,0,0,0.556,0,none,0
5.84,2.59,0,244.93,654.4,0,0,Mobile,Edge,2,21,1.25,0,0,0,0.445,0,none,0
3.41,3.48,3,264.25,559.45,1,1,Mobile,Edge,2,9,3.13,0,0,0,0.308,0,none,0
2.31,3.99,1,341.63,451.18,1,1,Mobile,Safari,2,7,3.7,0,1,0,0.489,1,bot_attack,1
4.39,4.13,1,335.27,531.33,0,0,Mobile,Safari,1,3,1.25,0,0,0,0.374,0,none,0
5.96,5.75,0,281.61,563.25,0,0,Desktop,Firefox,1,21,1.83,0,0,0,0.331,0,none,0
5.14,3.44,2,245.57,652.05,0,0,Desktop,Chrome,1,2,1.78,0,0,0,0.519,0,none,0
2.37,3.43,2,181.47,464.95,0,1,Mobile,Safari,0,12,3.32,1,1,0,0.501,1,bot_attack,1
4.68,2.95,1,216.12,227.7,0,0,Mobile,Firefox,4,20,3.28,0,1,0,0.489,0,none,0
4.46,2.96,0,216.72,907.61,0,0,Mobile,Edge,2,22,2.34,0,0,0,0.383,0,none,0
5.02,1.6,1,266.55,678.67,0,0,Desktop,Firefox,1,3,4.71,0,1,0,0.69,0,none,0
4.62,3.04,2,440.32,480.15,1,0,Desktop,Safari,2,15,2.4,1,1,0,0.444,1,bot_attack,1
1.53,2.36,4,219.63,292.71,0,0,Desktop,Firefox,0,10,2.92,0,0,0,0.502,0,none,0
7.59,3.88,3,230.23,643.66,0,0,Mobile,Chrome,2,5,3.6,1,1,1,0.642,1,tor_intrusion,1
5.52,5.41,2,308.39,652.49,0,0,Mobile,Safari,0,15,2.85,0,0,0,0.3,0,none,0
7.06,2.71,0,243.19,516.98,0,0,Desktop,Chrome,2,20,2.4,0,0,0,0.611,1,bot_attack,1
4.69,2.04,1,351.29,561.1,0,0,Desktop,Safari,3,8,2.35,0,0,0,0.315,1,bot_attack,1
7.01,2.63,1,277.72,397.3,0,0,Mobile,Chrome,1,8,4.0,1,0,0,0.581,0,none,0
7.16,3.1,1,201.27,538.66,0,1,Desktop,Chrome,0,5,1.43,0,0,0,0.334,0,none,0
6.15,5.29,1,164.0,462.5,0,0,Mobile,Edge,2,14,3.46,0,0,0,0.426,0,none,0
2.52,3.7,3,284.74,764.76,0,0,Mobile,Edge,0,6,2.32,0,0,0,0.357,0,none,0
7.11,4.77,0,325.43,783.7,0,1,Desktop,Edge,2,21,2.56,0,0,0,0.378,1,bot_attack,1
4.34,3.66,3,332.29,97.15,0,0,Mobile,Chrome,1,7,3.12,1,0,0,0.263,0,none,0
3.63,4.3,3,299.43,637.51,1,0,Desktop,Chrome,2,11,0.97,0,1,0,0.442,1,bot_attack,1
3.59,2.03,3,463.21,535.56,0,0,Mobile,Firefox,1,4,3.1,0,0,0,0.517,0,none,0
2.65,3.19,2,347.35,465.32,0,0,Mobile,Edge,0,16,2.23,0,0,0,0.424,0,none,0
5.44,3.3,1,374.62,418.45,0,0,Mobile,Edge,1,0,1.54,0,0,0,0.557,0,none,0
3.52,4.9,2,247.42,67.71,0,0,Mobile,Chrome,0,19,3.43,0,1,0,0.413,0,none,0
5.9,3.33,3,308.57,449.29,0,0,Desktop,Chrome,2,17,2.96,0,0,0,0.527,0,none,0
6.34,2.34,1,296.52,418.14,1,0,Mobile,Firefox,0,14,0.38,0,0,0,0.26,0,none,0
2.77,1.8,2,310.44,498.16,0,0,Desktop,Edge,2,17,3.55,0,0,0,0.683,0,none,0
0.69,4.73,2,200.48,511.68,1,0,Mobile,Safari,2,3,3.24,0,0,0,0.55,0,none,0
5.62,2.97,6,251.94,349.06,1,0,Desktop,Chrome,4,13,3.46,0,0,0,0.454,1,bot_attack,1
2.67,1.97,4,179.2,456.55,0,0,Mobile,Edge,2,5,3.2,0,0,0,0.574,0,none,0
3.63,2.71,4,90.35,571.05,0,0,Desktop,Safari,0,7,4.52,0,0,0,0.464,0,none,0
3.2,2.72,1,224.29,521.55,0,0,Mobile,Edge,1,12,1.74,0,0,0,0.406,0,none,0
2.9,4.31,1,287.41,407.84,0,0,Desktop,Edge,1,18,2.82,0,0,0,0.293,0,none,0
3.39,4.27,0,119.39,511.11,0,1,Desktop,Chrome,0,7,2.11,1,0,0,0.464,1,bot_attack,1
5.23,1.67,3,253.94,325.47,1,1,Desktop,Edge,2,1,2.9,0,0,0,0.463,0,none,0
3.84,3.61,1,103.51,319.06,0,0,Mobile,Edge,3,15,3.03,0,0,0,0.602,1,bot_attack,1
5.92,4.65,1,233.82,540.82,0,0,Desktop,Safari,1,22,2.71,0,0,0,0.197,0,none,0
4.23,3.57,1,344.95,587.49,0,1,Desktop,Firefox,3,6,2.02,0,0,0,0.554,1,bot_attack,1
5.91,4.21,0,156.61,435.34,0,0,Mobile,Firefox,0,8,3.4,1,1,0,0.64,0,none,0
3.53,4.07,1,324.48,75.14,0,0,Desktop,Safari,1,12,3.85,1,0,0,0.56,0,none,0
3.96,4.47,0,115.45,652.73,0,0,Desktop,Firefox,1,2,1.78,0,1,0,0.5,0,none,0
7.46,6.43,2,185.44,283.81,1,0,Mobile,Edge,3,22,4.28,0,0,0,0.599,1,bot_attack,1
6.33,2.75,4,193.88,494.97,1,0,Desktop,Firefox,1,2,2.53,0,0,0,0.431,0,none,0
2.23,3.23,4,325.7,566.01,0,1,Desktop,Safari,1,20,2.96,0,0,0,0.586,0,none,0
3.26,4.57,1,377.11,440.92,1,1,Mobile,Safari,0,23,2.81,1,0,0,0.671,1,bot_attack,1
4.0,3.06,1,265.43,723.38,1,0,Desktop,Firefox,0,9,2.36,0,0,0,0.591,1,bot_attack,1
5.73,2.86,1,185.69,618.26,0,0,Desktop,Chrome,1,12,2.69,0,0,0,0.234,0,none,0
4.62,2.7,2,342.78,432.71,0,0,Desktop,Firefox,0,15,1.56,1,0,0,0.536,0,none,0
4.16,4.6,1,266.87,414.5,0,1,Desktop,Chrome,2,5,4.6,1,0,0,0.271,0,none,0
6.51,4.0,5,272.42,768.85,1,0,Desktop,Chrome,0,2,3.28,0,0,0,0.557,0,none,0
3.44,4.61,2,317.28,396.68,1,0,Desktop,Safari,0,18,2.49,0,1,0,0.435,1,bot_attack,1
4.16,6.66,2,440.63,691.78,0,1,Desktop,Edge,1,5,1.4,0,0,0,0.63,0,none,0
3.61,4.22,0,304.03,718.52,1,0,Desktop,Chrome,1,18,0.85,0,0,0,0.301,0,none,0
7.85,2.22,1,186.07,371.66,0,0,Desktop,Edge,1,2,3.08,0,1,0,0.31,1,bot_attack,1
3.89,1.91,1,474.51,313.94,1,0,Desktop,Chrome,2,15,1.37,0,0,0,0.627,0,none,0
2.99,3.91,2,235.53,591.17,0,0,Mobile,Firefox,2,6,3.12,1,0,0,0.459,0,none,0
3.93,3.26,2,219.38,715.59,0,0,Desktop,Edge,3,0,3.31,0,0,0,0.601,0,none,0
3.42,3.11,4,92.02,304.1,1,0,Desktop,Firefox,1,20,2.92,1,0,0,0.496,0,none,0
3.59,3.09,3,180.71,445.45,0,1,Desktop,Safari,1,14,2.82,0,0,1,0.434,1,tor_intrusion,1
4.92,3.25,0,234.99,126.62,0,0,Desktop,Chrome,0,21,2.03,0,0,0,0.64,0,none,0
4.57,3.74,2,151.05,203.34,0,0,Mobile,Edge,1,19,3.68,1,0,0,0.429,0,none,0
5.5,4.03,2,212.66,463.07,1,0,Desktop,Chrome,2,7,2.26,1,0,0,0.363,1,bot_attack,1
4.83,3.87,2,253.79,443.13,0,0,Desktop,Chrome,0,19,2.04,0,0,0,0.373,0,none,0
4.37,2.25,2,149.24,584.72,0,0,Mobile,Firefox,0,4,1.03,0,0,0,0.476,0,none,0
4.76,5.47,2,181.29,620.67,0,0,Mobile,Edge,0,5,2.75,0,0,1,0.199,0,none,0
4.57,4.3,1,183.22,657.46,0,0,Mobile,Edge,2,14,2.67,0,1,0,0.265,1,bot_attack,1
3.27,4.8,2,162.84,401.37,0,1,Desktop,Safari,0,11,2.93,0,0,0,0.638,1,bot_attack,1
2.03,4.03,0,284.59,630.29,1,0,Desktop,Chrome,2,21,3.1,0,1,0,0.428,1,bot_attack,1
4.95,2.37,2,312.5,710.51,1,0,Desktop,Safari,2,12,3.49,1,0,1,0.414,1,tor_intrusion,1
4.1,2.47,2,296.17,610.76,0,0,Mobile,Safari,1,19,3.36,0,0,0,0.239,0,none,0
3.86,3.48,4,283.1,331.99,0,0,Mobile,Firefox,2,18,2.8,0,1,0,0.47,1,bot_attack,1
2.42,3.4,2,275.29,612.4,0,1,Mobile,Firefox,1,3,2.7,0,0,0,0.51,0,none,0
4.27,2.32,3,166.15,265.71,0,0,Desktop,Edge,2,12,1.91,0,0,0,0.49,0,none,0
4.7,2.45,1,212.44,475.78,1,0,Desktop,Chrome,1,3,2.85,1,0,0,0.517,1,bot_attack,1
5.33,2.76,1,204.11,407.68,0,0,Mobile,Chrome,1,10,2.65,0,0,0,0.551,0,none,0
4.47,5.46,3,279.91,522.15,0,0,Mobile,Firefox,0,14,3.56,0,0,0,0.416,0,none,0
4.02,1.68,2,270.87,577.27,0,0,Mobile,Chrome,2,6,3.22,1,0,0,0.432,0,none,0
4.13,4.13,2,327.05,132.81,0,0,Desktop,Chrome,2,7,1.35,0,0,0,0.374,0,none,0
3.37,3.7,3,270.21,438.79,0,1,Mobile,Edge,2,14,2.81,0,0,0,0.219,1,bot_attack,1
3.73,2.28,2,282.51,640.46,0,0,Mobile,Chrome,0,14,4.47,0,0,0,0.519,0,none,0
3.06,5.75,0,254.46,260.36,0,0,Mobile,Safari,1,9,0.1,0,1,0,0.671,0,none,0
4.96,1.92,1,161.21,409.22,0,1,Desktop,Safari,2,5,2.97,0,0,0,0.555,0,none,0
6.32,5.01,2,135.02,617.28,0,0,Mobile,Edge,0,9,1.57,1,0,0,0.632,0,none,0
5.51,5.82,3,399.44,555.41,0,0,Desktop,Safari,1,6,2.34,0,0,0,0.305,0,none,0
4.68,3.95,3,202.88,687.09,0,0,Desktop,Firefox,3,23,1.8,0,0,0,0.51,0,none,0
5.91,3.65,6,397.68,683.74,0,0,Mobile,Edge,1,1,2.34,1,1,0,0.667,1,bot_attack,1
7.05,4.09,2,234.49,696.76,1,0,Desktop,Firefox,0,20,2.59,0,0,0,0.405,0,none,0
7.37,4.11,4,306.13,260.57,0,0,Desktop,Edge,0,19,1.4,0,1,0,0.309,0,none,0
4.42,2.53,2,406.33,825.76,0,0,Mobile,Firefox,0,11,1.11,0,0,0,0.412,0,none,0
5.7,3.79,1,253.44,234.53,0,1,Mobile,Safari,1,0,2.83,0,0,0,0.342,0,none,0
5.02,2.96,7,50.72,571.52,0,0,Mobile,Firefox,0,17,4.1,0,0,0,0.441,0,none,0
1.99,2.33,2,228.54,620.78,0,1,Desktop,Firefox,2,21,3.31,0,0,0,0.484,0,none,0
3.59,2.95,2,179.31,496.25,0,1,Desktop,Chrome,0,18,2.96,1,0,0,0.321,0,none,0
3.16,4.66,0,295.11,438.38,0,0,Desktop,Safari,1,5,3.04,1,0,0,0.616,0,none,0
6.01,2.91,1,199.56,469.82,0,0,Desktop,Edge,1,21,0.61,0,0,0,0.482,0,none,0
8.4,5.28,2,410.6,820.56,0,0,Desktop,Edge,0,20,2.49,0,0,0,0.562,0,none,0
3.77,3.52,5,338.31,367.92,1,0,Desktop,Safari,4,4,2.21,0,0,0,0.381,0,none,0
3.95,2.17,0,298.42,319.18,0,0,Mobile,Firefox,1,1,1.59,0,0,0,0.579,0,none,0
3.23,2.93,2,175.04,658.35,0,0,Desktop,Edge,0,0,0.68,0,1,0,0.53,1,bot_attack,1
5.49,3.4,1,235.54,634.13,0,0,Mobile,Safari,0,8,3.61,0,1,0,0.429,0,none,0
7.21,2.92,0,256.31,428.89,0,0,Mobile,Chrome,3,3,3.02,0,0,0,0.716,0,none,0
2.96,4.9,2,235.41,445.21,0,1,Desktop,Safari,0,3,3.96,0,1,0,0.543,0,none,0
6.02,2.66,5,324.18,642.86,0,0,Desktop,Edge,0,10,2.16,0,0,0,0.452,0,none,0
6.89,4.34,2,167.96,327.83,1,0,Mobile,Edge,1,6,1.43,0,0,0,0.44,0,none,0
4.16,3.95,3,244.58,674.06,1,0,Desktop,Edge,2,12,2.18,1,0,0,0.443,1,bot_attack,1
5.68,2.27,1,20.0,493.57,0,0,Mobile,Safari,3,18,1.26,0,0,0,0.662,0,none,0
5.37,4.79,2,264.47,461.15,0,0,Mobile,Firefox,1,7,3.27,0,0,0,0.418,0,none,0
4.39,4.31,4,300.67,201.65,0,0,Mobile,Firefox,3,1,3.7,0,0,0,0.294,0,none,0
5.83,1.28,3,112.76,220.04,0,0,Mobile,Chrome,2,19,3.69,0,0,0,0.569,1,bot_attack,1
3.99,1.63,3,404.45,530.45,1,0,Mobile,Chrome,0,7,2.33,0,0,0,0.651,0,none,0
2.55,2.93,2,388.94,319.72,1,0,Desktop,Firefox,1,15,0.9,0,0,0,0.324,0,none,0
1.99,3.27,5,156.02,626.21,0,0,Mobile,Firefox,3,13,2.5,1,0,0,0.361,1,bot_attack,1
3.67,2.68,3,197.6,713.34,0,1,Mobile,Chrome,3,5,1.99,1,1,1,0.578,1,tor_intrusion,1
3.79,3.98,4,405.86,207.57,0,0,Desktop,Chrome,2,0,2.65,0,1,0,0.297,0,none,0
3.35,6.23,1,286.79,113.22,0,0,Mobile,Firefox,1,23,2.13,0,0,0,0.706,0,none,0
5.67,2.62,1,210.83,338.2,0,0,Desktop,Safari,1,7,3.24,1,0,0,0.457,0,none,0
4.07,4.38,2,267.77,833.34,0,0,Mobile,Firefox,0,2,2.98,0,1,1,0.588,1,tor_intrusion,1
4.2,5.89,3,189.78,658.97,0,0,Mobile,Chrome,2,2,2.71,0,0,0,0.262,0,none,0
2.91,4.46,1,268.74,516.27,1,0,Mobile,Firefox,2,9,1.88,0,0,0,0.336,1,bot_attack,1
4.12,3.1,2,212.35,643.17,0,0,Desktop,Edge,1,15,2.42,0,0,0,0.53,0,none,0
3.28,5.17,1,200.65,345.15,0,0,Desktop,Safari,0,9,3.72,0,1,0,0.498,0,none,0
4.98,3.85,0,246.41,555.03,0,1,Desktop,Edge,2,10,3.74,1,0,0,0.455,0,none,0
5.99,2.51,1,401.36,236.05,0,0,Desktop,Edge,4,5,1.65,1,0,0,0.448,0,none,0
3.77,2.95,3,263.25,520.96,0,0,Desktop,Firefox,1,21,2.09,1,0,0,0.322,0,none,0
6.65,3.72,2,258.64,667.26,0,1,Desktop,Firefox,1,21,0.64,1,0,0,0.371,0,none,0
5.15,2.34,2,44.08,462.91,1,0,Mobile,Chrome,1,11,1.19,0,0,1,0.352,1,tor_intrusion,1
4.55,4.31,5,297.53,683.48,0,0,Desktop,Firefox,0,8,3.64,0,0,0,0.552,0,none,0
5.74,2.85,1,147.26,491.62,0,0,Mobile,Safari,1,10,0.9,0,0,0,0.425,0,none,0
4.1,3.83,1,214.36,658.98,0,0,Mobile,Firefox,2,10,3.35,0,0,0,0.305,0,none,0
2.03,4.86,0,98.76,393.73,0,0,Desktop,Firefox,0,15,2.63,0,0,0,0.46,0,none,0
2.98,2.08,2,350.11,359.8,0,0,Mobile,Safari,2,12,1.88,0,0,0,0.509,0,none,0
4.37,1.91,1,409.63,444.38,0,0,Mobile,Firefox,1,6,2.97,0,1,0,0.355,1,bot_attack,1
5.76,2.87,0,219.82,588.84,0,0,Mobile,Edge,4,4,2.68,0,0,0,0.591,0,none,0
3.61,3.08,0,295.34,614.07,0,0,Desktop,Edge,1,17,4.66,0,0,0,0.327,0,none,0
4.08,5.31,2,264.71,707.91,0,1,Desktop,Edge,1,12,3.33,0,0,0,0.765,0,none,0
5.91,3.82,0,268.46,619.34,0,0,Mobile,Edge,2,8,4.35,0,0,0,0.304,0,none,0
5.94,4.37,4,224.48,607.68,0,0,Mobile,Chrome,2,0,2.6,0,0,0,0.43,0,none,0
5.89,3.25,4,288.63,255.5,0,0,Desktop,Edge,2,23,2.09,0,0,0,0.681,0,none,0
2.63,3.55,4,265.2,681.07,0,0,Desktop,Edge,2,7,1.54,1,0,0,0.576,1,bot_attack,1
5.01,3.83,1,277.83,457.26,0,0,Mobile,Edge,3,12,2.23,0,1,0,0.686,1,bot_attack,1
4.15,1.86,1,416.55,287.25,0,0,Desktop,Edge,1,22,0.99,1,0,0,0.49,0,none,0
4.24,5.19,2,167.63,257.98,1,0,Desktop,Edge,0,9,4.07,0,1,0,0.777,1,bot_attack,1
4.92,3.97,1,192.14,566.18,0,0,Desktop,Chrome,0,19,1.26,0,0,0,0.34,0,none,0
2.24,4.84,3,325.99,583.28,0,0,Mobile,Safari,4,2,1.85,0,0,0,0.47,1,bot_attack,1
4.76,3.97,2,146.98,636.71,1,1,Desktop,Safari,0,17,1.1,1,0,0,0.789,0,none,0
7.3,5.71,1,174.8,307.34,0,0,Mobile,Edge,3,5,3.03,1,0,0,0.314,1,bot_attack,1
5.91,2.26,2,196.25,556.55,0,0,Desktop,Safari,2,7,3.48,0,0,0,0.354,0,none,0
7.04,2.92,4,274.6,226.82,0,1,Mobile,Firefox,2,7,1.75,1,0,0,0.645,0,none,0
5.3,2.99,1,26.56,296.59,0,1,Mobile,Edge,2,11,2.97,0,0,0,0.563,1,bot_attack,1
4.61,4.64,2,251.07,279.16,0,0,Mobile,Firefox,0,22,2.27,0,1,0,0.74,0,none,0
6.16,5.07,0,378.65,723.86,0,0,Mobile,Safari,3,1,2.1,1,1,0,0.524,1,bot_attack,1
4.85,0.5,2,293.37,171.18,0,1,Mobile,Chrome,1,23,2.08,0,0,0,0.726,0,none,0
3.04,3.46,2,241.28,389.67,0,0,Desktop,Edge,0,2,2.35,0,0,0,0.507,0,none,0
4.79,0.75,1,191.77,789.08,0,0,Mobile,Chrome,1,16,1.12,0,0,0,0.585,0,none,0
2.18,6.3,2,318.66,525.28,0,0,Mobile,Chrome,0,19,2.5,0,0,0,0.542,0,none,0
2.28,2.44,1,174.91,288.2,0,0,Mobile,Edge,0,0,0.1,0,0,0,0.164,0,none,0
4.45,3.85,2,318.75,563.56,0,0,Mobile,Safari,3,21,1.37,0,0,0,0.636,0,none,0
4.02,3.73,1,175.36,50.0,0,0,Mobile,Safari,0,17,2.03,0,1,0,0.243,0,none,0
6.72,4.43,1,212.74,492.92,0,0,Desktop,Firefox,5,22,1.36,0,1,0,0.384,1,bot_attack,1
4.33,2.9,1,203.13,346.78,0,0,Mobile,Chrome,2,10,0.78,1,0,0,0.198,0,none,0
3.42,4.31,5,273.25,586.26,0,1,Desktop,Chrome,2,11,3.14,1,0,0,0.266,1,bot_attack,1
3.94,3.92,0,226.51,718.73,0,0,Mobile,Edge,1,19,3.35,0,0,0,0.258,0,none,0
4.09,4.01,1,314.08,156.74,0,0,Desktop,Chrome,1,21,2.99,1,0,0,0.496,0,none,0
5.08,2.0,0,272.71,535.72,1,1,Mobile,Chrome,1,9,2.61,0,0,0,0.34,0,none,0
6.33,4.32,1,343.01,768.38,0,0,Mobile,Firefox,2,6,0.76,1,0,0,0.434,1,bot_attack,1
3.91,2.48,0,280.72,566.51,0,0,Desktop,Firefox,0,1,2.94,0,0,0,0.441,1,bot_attack,1
3.42,3.65,2,112.52,709.32,0,0,Desktop,Edge,3,0,1.57,0,0,0,0.396,0,none,0
1.99,1.37,1,241.27,706.67,1,0,Mobile,Edge,0,19,2.13,1,0,0,0.549,0,none,0
6.23,3.02,1,237.78,560.08,1,0,Mobile,Firefox,1,13,3.72,0,1,0,0.443,1,bot_attack,1
1.87,2.38,2,286.19,755.18,0,0,Mobile,Edge,1,3,2.74,0,1,0,0.391,0,none,0
5.5,5.08,2,197.22,87.71,0,0,Mobile,Edge,0,9,2.53,0,0,0,0.578,0,none,0
4.37,3.57,2,92.56,544.75,0,0,Desktop,Firefox,1,11,2.42,0,0,0,0.361,0,none,0
4.57,1.96,2,338.99,327.75,0,0,Mobile,Firefox,2,17,1.72,1,0,0,0.49,0,none,0
3.13,4.04,5,20.07,486.28,1,0,Mobile,Chrome,4,9,3.4,0,0,0,0.453,1,bot_attack,1
7.58,3.73,2,182.71,518.83,0,0,Mobile,Firefox,2,23,3.28,0,0,0,0.445,0,none,0
2.7,4.41,1,249.81,345.11,0,0,Desktop,Chrome,0,11,0.27,1,0,0,0.522,0,none,0
6.59,3.8,0,488.33,329.08,0,0,Mobile,Chrome,2,14,1.65,1,1,1,0.442,0,none,0
6.62,1.99,3,268.4,50.0,0,0,Desktop,Chrome,1,4,2.49,0,0,0,0.504,0,none,0
2.75,2.2,2,232.87,434.77,0,0,Desktop,Firefox,0,15,1.26,1,1,0,0.508,1,bot_attack,1
4.45,3.61,2,249.38,218.75,0,0,Mobile,Chrome,0,0,3.15,0,0,0,0.688,0,none,0
4.69,3.9,0,319.92,762.36,1,0,Mobile,Edge,0,0,2.86,0,0,0,0.464,1,bot_attack,1
4.27,3.08,2,339.01,851.2,0,0,Mobile,Safari,2,7,2.96,0,0,0,0.404,0,none,0
